Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
144,0,-1.07073,-0.702258,1.769652,-2550.751221,-533.764893,1135.45459
145,0,-1.095764,-0.750081,1.767248,-2516.460205,-531.792053,1178.787354
146,0,-1.086527,-0.793675,1.788399,-2483.668945,-530.11438,1221.428833
147,0,-1.0866,-0.849645,1.789522,-2450.006592,-527.496033,1262.83252
148,0,-1.163113,-0.924754,1.711317,-2413.091553,-523.559021,1301.919312
149,,,,,,,
150,,,,,,,
151,0,-1.034656,-1.052326,1.820947,-2316.48877,-516.878601,1416.212402
152,,,,,,,
153,,,,,,,
154,0,-0.949801,-1.151639,1.908309,-2220.57251,-510.670532,1520.889282
155,,,,,,,
156,,,,,,,
157,0,-0.850905,-1.273384,1.991877,-2125.274658,-504.347565,1616.065063
158,,,,,,,
159,,,,,,,
160,0,-0.745666,-1.384355,2.071588,-2030.914307,-498.167664,1702.116577
161,0,-0.708743,-1.421071,2.097598,-1999.550049,-496.099335,1728.692139
162,0,-0.671368,-1.457934,2.122941,-1968.304443,-494.045898,1754.288574
163,0,-0.633372,-1.491818,2.148225,-1937.342041,-491.993713,1779.003906
164,0,-0.595259,-1.531554,2.172063,-1906.120239,-489.967133,1802.553467
165,0,-0.541114,-1.564745,2.197704,-1875.337158,-487.908539,1824.94812
166,0,-0.499814,-1.600242,2.221142,-1844.244995,-485.900085,1846.44812
167,0,-0.458723,-1.635596,2.243697,-1813.249878,-483.900513,1866.959351
168,0,-0.4189,-1.680208,2.263775,-1782.078979,-481.767883,1886.560425
169,0,-0.378135,-1.714146,2.284573,-1751.261475,-479.826447,1905.142334
170,0,-0.335904,-1.748139,2.30591,-1720.481567,-477.89093,1922.691284
171,0,-0.279913,-1.777807,2.324361,-1689.855591,-475.976318,1938.985718
172,0,-0.23225,-1.809776,2.343034,-1659.154297,-474.081757,1954.428955
173,0,-0.183329,-1.842147,2.361743,-1628.523682,-472.176636,1968.886353
174,0,-0.133404,-1.873722,2.379541,-1598.016357,-470.279236,1982.364624
175,0,-0.083106,-1.905418,2.396497,-1567.554932,-468.382843,1994.810181
176,0,-0.02897,-1.936864,2.41181,-1537.185669,-466.488525,2006.327393
177,0,0.033614,-1.963068,2.42468,-1506.966064,-464.641693,2016.593018
178,0,0.084076,-2.007112,2.45495,-1476.332642,-462.404663,2026.292847
179,0,0.139415,-2.04028,2.472261,-1446.032349,-460.583191,2034.741821
180,0,0.193028,-2.069861,2.485516,-1415.635742,-458.709137,2042.173828
181,0,0.246845,-2.09886,2.498198,-1385.21875,-456.822906,2048.632813
182,0,0.300327,-2.126163,2.510038,-1354.88916,-454.948303,2054.13623
183,0,0.360195,-2.157518,2.528806,-1324.384766,-452.9039,2058.671143
